============================================================
CICERO PAIRS - WINDOW SIZE 4
============================================================

Pair                           | Count
('non', 'senatus')             |    12
('etiam', 'ne')                |    12
('res', 'totus')               |    12
('epistula', 'non')            |    12
('fero', 'moleste')            |    12
('mehercule', 'non')           |    12
('non', 'parum')               |    12
('pompeius', 'scribo')         |    12
('dies', 'scribo')             |    12
('non', 'quidem')              |    12
('non', 'pompeius')            |    12
('facio', 'iter')              |    12
('consul', 'senatus')          |    11
('habeo', 'video')             |    11
('ne', 'volo')                 |    11
('fero', 'res')                |    11
('homo', 'possum')             |    11
('tempus', 'video')            |    11
('enim', 'quam')               |    11
('roma', 'venio')              |    11
('littera', 'puto')            |    11
('modus', 'ne')                |    11
('habeo', 'scio')              |    11
('mitto', 'quam')              |    11
('facio', 'tamen')             |    11
('bonus', 'quam')              |    11
('magis', 'res')               |    11
('opinor', 'ut')               |    11
('adsum', 'non')               |    11
('enim', 'volo')               |    11
('consul', 'facio')            |    11
('autem', 'video')             |    11
('facio', 'ita')               |    11
('nam', 'ne')                  |    11
('greek.expression', 'vero')   |    11
('ago', 'possum')              |    11
('littera', 'venio')           |    11
('quam', 'tamen')              |    11
('greek.expression', 'puto')   |    11
('venio', 'video')             |    11
('puto', 'ut')                 |    11
('greek.expression', 'scio')   |    11
('caesar', 'non')              |    11
('spes', 'video')              |    11
('non', 'roma')                |    11
('eo', 'magis')                |    11
('greek.expression', 'quidem') |    11
('certus', 'habeo')            |    11
('dico', 'volo')               |    11
('scio', 'ut')                 |    11
('facio', 'multus')            |    11
('ago', 'nunc')                |    11
('facio', 'ne')                |    11
('decerno', 'senatus')         |    10
('nunc', 'quam')               |    10
('arbitror', 'non')            |    10
('amicus', 'non')              |    10
('antea', 'scribo')            |    10
('mitto', 'roma')              |    10
('enim', 'iam')                |    10
('nunc', 'video')              |    10
('enim', 'facio')              |    10
('do', 'facio')                |    10
('autem', 'littera')           |    10
('autem', 'possum')            |    10
('audio', 'scribo')            |    10
('magnus', 'scribo')           |    10
('animus', 'habeo')            |    10
('curo', 'volo')               |    10
('ad', 'quemadmodum')          |    10
('modum', 'quemadmodum')       |    10
('ad', 'modum')                |    10
('habeo', 'ut')                |    10
('possum', 'scio')             |    10
('nam', 'video')               |    10
('non', 'placeo')              |    10
('itaque', 'non')              |    10
('multo', 'quam')              |    10
('ita', 'tamen')               |    10
('possum', 'ut')               |    10
('dico', 'sententia')          |    10
('fero', 'lex')                |    10
('facio', 'greek.expression')  |    10
('fio', 'non')                 |    10
('non', 'praesertim')          |    10
('mitto', 'volo')              |    10
('epistula', 'res')            |    10
('non', 'sic')                 |    10
('ne', 'umquam')               |    10
('pompeius', 'video')          |    10
('dico', 'pompeius')           |    10
('dico', 'scribo')             |    10
('possum', 'puto')             |    10
('non', 'spes')                |    10
('consultum', 'facio')         |    10
('pompeius', 'senatus')        |    10
('hercule', 'non')             |    10
('non', 'quaero')              |    10
('iam', 'video')               |    10
('greek.expression', 'multus') |    10
('fio', 'ne')                  |    10
('greek.expression', 'ne')     |    10
('roma', 'volo')               |    10
('greek.expression', 'salus')  |    10
('neque', 'non')               |    10
('homo', 'video')              |    10
('ago', 'pompeius')            |    10
('enim', 'habeo')              |    10
('multus', 'possum')           |    10
('amo', 'tantum')              |    10
('cognosco', 'littera')        |    10
('iam', 'pridem')              |     9
('publicus', 'video')          |     9
('ita', 'possum')              |     9
('modo', 'ne')                 |     9
('etiam', 'publicus')          |     9
('magnus', 'tamen')            |     9
('animus', 'tamen')            |     9
('quam', 'vero')               |     9
('modus', 'scio')              |     9
('dico', 'ita')                |     9
('exspecto', 'scribo')         |     9
('amo', 'greek.expression')    |     9
('scribo', 'tempus')           |     9
('non', 'vereor')              |     9
('frater', 'scribo')           |     9
('ceterus', 'res')             |     9
('ceterus', 'quam')            |     9
('do', 'possum')               |     9
('epirus', 'proficiscor')      |     9
('littera', 'reddo')           |     9
('etiam', 'habeo')             |     9
('loquor', 'res')              |     9
('greek.expression', 'homo')   |     9
('ago', 'quam')                |     9
('negotium', 'non')            |     9
('causa', 'publicus')          |     9
('fero', 'senatus')            |     9
('res', 'status')              |     9
('etiam', 'facio')             |     9
('etiam', 'scio')              |     9
('non', 'publicus')            |     9
('inquam', 'non')              |     9
('homo', 'ita')                |     9
('non', 'provincia')           |     9
('quantum', 'tantum')          |     9
('accipio', 'res')             |     9
('dies', 'non')                |     9
('caesar', 'dico')             |     9
('animus', 'res')              |     9
('animus', 'non')              |     9
('res', 'sic')                 |     9
('iam', 'ne')                  |     9
('ne', 'senatus')              |     9
('consul', 'non')              |     9
('scio', 'scribo')             |     9
('quidem', 'res')              |     9
('enim', 'publicus')           |     9
('publicus', 'quam')           |     9
('enim', 'homo')               |     9
('laudo', 'non')               |     9
('debeo', 'non')               |     9
('homo', 'ne')                 |     9
('bonus', 'video')             |     9
('do', 'puto')                 |     9
('accipio', 'non')             |     9
('audeo', 'non')               |     9
('ne', 'venio')                |     9
('causa', 'res')               |     9
('gero', 'res')                |     9
