============================================================
CICERO ANALYSIS (Treebank Filtered)
Source: Perseus (phi0474) + PROIEL (Atticum, Officiis, etc.)
============================================================

Total Lemmas: 28377

TOP COLLOCATIONS (PAIRS) by PMI (Min count: 3)
------------------------------------------------------------
Collocation                    | PMI        | Count
('magnitudo', 'animus')        |       5.30 |     4
('auctoritas', 'ordo')         |       5.27 |     3
('piso', 'consul')             |       5.25 |     7
('amoenus', 'greek.expression') |       5.24 |     4
('lentulus', 'filius')         |       5.24 |     3
('rogo', 'hortor')             |       5.22 |     3
('senatus', 'recito')          |       5.19 |     4
('tribunus', 'rogatio')        |       5.18 |     3
('infitior', 'possum')         |       5.18 |     3
('marcus', 'scaptius')         |       5.18 |     3
('summus', 'gloria')           |       5.16 |     3
('do', 'sept')                 |       5.15 |     3
('capio', 'nescio')            |       5.14 |     3
('aveo', 'scio')               |       5.14 |     5
('agrarius', 'lex')            |       5.11 |     3
('lex', 'agrarius')            |       5.11 |     3
('summus', 'diligentia')       |       5.07 |     4
('committo', 'gero')           |       5.07 |     3
('num', 'novus')               |       5.06 |     3
('copia', 'praesidium')        |       5.05 |     3
('bonus', 'improbus')          |       5.04 |     4
('consul', 'designo')          |       5.03 |     3
('consilium', 'capio')         |       5.02 |     8
('cur', 'frater')              |       5.01 |     3
('lex', 'intercedo')           |       5.00 |     4
('brevis', 'tempus')           |       4.97 |     6
('modo', 'desero')             |       4.96 |     3
('lex', 'promulgo')            |       4.96 |     3
('placeo', 'thessalonica')     |       4.93 |     3
('plebs', 'rogatio')           |       4.93 |     3
('summus', 'periculum')        |       4.91 |     4
('curio', 'filius')            |       4.90 |     3
('sustineo', 'eo')             |       4.88 |     3
('tam', 'acer')                |       4.87 |     3
('do', 'decembr')              |       4.83 |     4
('proelior', 'greek.expression') |       4.82 |     3
('plotius', 'greek.expression') |       4.82 |     3
('fluctuo', 'greek.expression') |       4.82 |     3
('multum', 'valeo')            |       4.82 |     3
('greek.expression', 'intercludo') |       4.82 |     3
('bene', 'gero')               |       4.81 |     3
('terentia', 'gratia')         |       4.79 |     3
('multum', 'debeo')            |       4.78 |     3
('inquam', 'rex')              |       4.78 |     3
('inquam', 'emo')              |       4.78 |     3
('emo', 'inquam')              |       4.78 |     3
