============================================================
CICERO PAIRS - WINDOW SIZE 5
============================================================

Pair                           | Count
------------------------------------------------------------
('publicus', 'res')            |   138
('non', 'possum')              |    98
('non', 'scribo')              |    76
('etiam', 'non')               |    63
('non', 'video')               |    61
('enim', 'non')                |    59
('res', 'scribo')              |    57
('non', 'res')                 |    56
('facio', 'non')               |    55
('non', 'quam')                |    53
('do', 'littera')              |    53
('modo', 'non')                |    50
('non', 'tamen')               |    50
('scribo', 'ut')               |    49
('ne', 'non')                  |    48
('habeo', 'non')               |    48
('enim', 'greek.expression')   |    47
('quam', 'video')              |    46
('ne', 'possum')               |    45
('ne', 'quidem')               |    45
('greek.expression', 'non')    |    43
('scribo', 'volo')             |    42
('scribo', 'video')            |    41
('do', 'scribo')               |    40
('quam', 'tam')                |    39
('ago', 'res')                 |    39
('non', 'puto')                |    39
('littera', 'scribo')          |    39
('quam', 'res')                |    39
('greek.expression', 'video')  |    38
('dico', 'non')                |    38
('frater', 'quintus')          |    37
('enim', 'video')              |    37
('non', 'ut')                  |    36
('nam', 'non')                 |    35
('quam', 'scribo')             |    34
('res', 'video')               |    33
('possum', 'video')            |    33
('quare', 're')                |    33
('consultum', 'senatus')       |    33
('possum', 'quam')             |    32
('do', 'non')                  |    32
('greek.expression', 'scribo') |    32
('cum', 'tum')                 |    31
('enim', 'res')                |    31
('scio', 'volo')               |    31
('non', 'volo')                |    31
('plebs', 'tribunus')          |    30
('etiam', 'greek.expression')  |    30
('littera', 'mitto')           |    30
('habeo', 'scribo')            |    30
('facio', 'volo')              |    30
('greek.expression', 'ut')     |    30
('homo', 'non')                |    29
('ne', 'video')                |    29
('enim', 'ne')                 |    29
('facio', 'possum')            |    29
('enim', 'scribo')             |    29
('hercule', 'mehercule')       |    29
('dico', 'greek.expression')   |    29
('possum', 'res')              |    28
('habeo', 'res')               |    28
('ita', 'res')                 |    28
('ut', 'volo')                 |    28
('bonus', 'non')               |    28
('pompeius', 'res')            |    28
('magnus', 'non')              |    28
('ne', 'res')                  |    27
('quam', 'volo')               |    27
('possum', 'scribo')           |    27
('habeo', 'ne')                |    27
('ut', 'video')                |    27
