============================================================
CICERO: TOP TRIGRAMS by FREQUENCY
============================================================

Trigram                                       | Count
('ago', 'ubi', 'tempus')                      |     2
('ergo', 'quoque', 'hactenus')                |     2
('quare', 're', 'scio')                       |     2
('magnus', 'gratia', 'pono')                  |     2
('non', 'enim', 'dubito')                     |     2
('facio', 'multus', 'scribo')                 |     2
('non', 'habeo', 'satis')                     |     2
('ut', 'ante', 'scribo')                      |     2
('cum', 'ceterus', 'tum')                     |     2
('paucus', 'dies', 'habeo')                   |     2
('scribo', 'do', 'non')                       |     2
('salus', 'ascribo', 'gratus')                |     2
('orodes', 'rex', 'parthus')                  |     2
('rex', 'parthus', 'filius')                  |     2
('civis', 'romanus', 'frumentum')             |     2
('marcus', 'scaptius', 'publius')             |     2
('scaptius', 'publius', 'matinius')           |     2
('lex', 'gabinius', 'veto')                   |     2
('gabinius', 'veto', 'tum')                   |     2
('senatus', 'consultum', 'syngrapha')         |     2
('consultum', 'syngrapha', 'ius')             |     2
('syngrapha', 'ius', 'dico')                  |     2
('domus', 'mehercule', 'hercule')             |     2
('littera', 'mitto', 'significo')             |     2
('non', 'habeo', 'mehercule')                 |     2
('venio', 'littera', 'mitto')                 |     2
('etiam', 'nunc', 'provincia')                |     2
('manlius', 'lepidus', 'lucius')              |     2
('res', 'publicus', 'prosum')                 |     2
('res', 'publicus', 'recipero')               |     2
('littera', 'lucius', 'domitius')             |     2
('tam', 'magnus', 'quam')                     |     2
('non', 'ample', 'cohors')                    |     2
('non', 'possum', 'quam')                     |     2
('caesar', 'populus', 'fio')                  |     2
('marcus', 'piso', 'consul')                  |     2
('varro', 'satisfacio', 'facit')              |     2
('satisfacio', 'facit', 'pompeius')           |     2
('tamen', 'scio', 'non')                      |     2
('ibi', 'forum', 'ago')                       |     2
('bessi', 'thrax', 'magnus')                  |     1
('thrax', 'magnus', 'proelium')               |     1
('magnus', 'proelium', 'fundo')               |     1
('proelium', 'fundo', 'ita')                  |     1
('fundo', 'ita', 'socius')                    |     1
('ita', 'socius', 'tracto')                   |     1
('socius', 'tracto', 'epistula')              |     1
('tracto', 'epistula', 'marcus')              |     1
('epistula', 'marcus', 'cicero')              |     1
('marcus', 'cicero', 'exsto')                 |     1
('cicero', 'exsto', 'quintus')                |     1
('exsto', 'quintus', 'frater')                |     1
('quintus', 'frater', 'tempus')               |     1
('frater', 'tempus', 'parum')                 |     1
('tempus', 'parum', 'secundus')               |     1
('parum', 'secundus', 'fama')                 |     1
('secundus', 'fama', 'proconsulatus')         |     1
('fama', 'proconsulatus', 'asia')             |     1
('proconsulatus', 'asia', 'administro')       |     1
('asia', 'administro', 'hortor')              |     1
('administro', 'hortor', 'moneo')             |     1
('hortor', 'moneo', 'imitor')                 |     1
('moneo', 'imitor', 'promereo')               |     1
('imitor', 'promereo', 'socius')              |     1
('promereo', 'socius', 'vicinus')             |     1
('socius', 'vicinus', 'octavius')             |     1
('vicinus', 'octavius', 'quo')                |     1
('octavius', 'quo', 'usque')                  |     1
('quo', 'usque', 'tandem')                    |     1
('usque', 'tandem', 'abutor')                 |     1
('tandem', 'abutor', 'catilina')              |     1
('abutor', 'catilina', 'patientia')           |     1
('catilina', 'patientia', 'quam')             |     1
('patientia', 'quam', 'diu')                  |     1
('quam', 'diu', 'etiam')                      |     1
('diu', 'etiam', 'furor')                     |     1
('etiam', 'furor', 'eludo')                   |     1
('furor', 'eludo', 'finis')                   |     1
('eludo', 'finis', 'effreno')                 |     1
('finis', 'effreno', 'iacto')                 |     1
('effreno', 'iacto', 'audacia')               |     1
('iacto', 'audacia', 'pateo')                 |     1
('audacia', 'pateo', 'consilium')             |     1
('pateo', 'consilium', 'sentio')              |     1
('consilium', 'sentio', 'constringo')         |     1
('sentio', 'constringo', 'iam')               |     1
('constringo', 'iam', 'scientia')             |     1
('iam', 'scientia', 'teneo')                  |     1
('scientia', 'teneo', 'coniuratio')           |     1
('teneo', 'coniuratio', 'video')              |     1
('coniuratio', 'video', 'senatus')            |     1
('video', 'senatus', 'intellego')             |     1
('senatus', 'intellego', 'consul')            |     1
('intellego', 'consul', 'video')              |     1
('consul', 'video', 'tamen')                  |     1
('video', 'tamen', 'vivo')                    |     1
('vivo', 'mors', 'catilina')                  |     1
('mors', 'catilina', 'duco')                  |     1
('catilina', 'duco', 'iussus')                |     1
('duco', 'iussus', 'consul')                  |     1
('iussus', 'consul', 'iam')                   |     1
('consul', 'iam', 'pridem')                   |     1
('iam', 'pridem', 'oportet')                  |     1
('pridem', 'oportet', 'confero')              |     1
('oportet', 'confero', 'pestis')              |     1
('confero', 'pestis', 'iam')                  |     1
('pestis', 'iam', 'diu')                      |     1
('iam', 'diu', 'machinor')                    |     1
('diu', 'machinor', 'catilina')               |     1
('machinor', 'catilina', 'orbis')             |     1
('catilina', 'orbis', 'terra')                |     1
('orbis', 'terra', 'caedes')                  |     1
('terra', 'caedes', 'incendium')              |     1
('caedes', 'incendium', 'vasto')              |     1
('incendium', 'vasto', 'cupio')               |     1
('vasto', 'cupio', 'consul')                  |     1
('cupio', 'consul', 'perfero')                |     1
('consul', 'perfero', 'habeo')                |     1
('perfero', 'habeo', 'senatus')               |     1
('habeo', 'senatus', 'consulo')               |     1
('senatus', 'consulo', 'catilina')            |     1
('consulo', 'catilina', 'vehemens')           |     1
('catilina', 'vehemens', 'gravis')            |     1
('vehemens', 'gravis', 'desum')               |     1
('gravis', 'desum', 'res')                    |     1
('desum', 'res', 'publicus')                  |     1
('res', 'publicus', 'consilium')              |     1
('publicus', 'consilium', 'ne')               |     1
('consilium', 'ne', 'auctoritas')             |     1
('ne', 'auctoritas', 'ordo')                  |     1
('auctoritas', 'ordo', 'dico')                |     1
('ordo', 'dico', 'apertus')                   |     1
('dico', 'apertus', 'consul')                 |     1
('apertus', 'consul', 'desum')                |     1
('consul', 'desum', 'decerno')                |     1
('desum', 'decerno', 'quondam')               |     1
('decerno', 'quondam', 'senatus')             |     1
('quondam', 'senatus', 'lucius')              |     1
('senatus', 'lucius', 'opimius')              |     1
('lucius', 'opimius', 'consul')               |     1
('opimius', 'consul', 'video')                |     1
('consul', 'video', 'res')                    |     1
('res', 'publicus', 'detrimentum')            |     1
('publicus', 'detrimentum', 'capio')          |     1
('detrimentum', 'capio', 'nox')               |     1
('capio', 'nox', 'intercedo')                 |     1
('nox', 'intercedo', 'vero')                  |     1
('intercedo', 'vero', 'vicesimus')            |     1
('vero', 'vicesimus', 'iam')                  |     1
('vicesimus', 'iam', 'dies')                  |     1
('iam', 'dies', 'patior')                     |     1
('dies', 'patior', 'hebesco')                 |     1
('patior', 'hebesco', 'acies')                |     1
('hebesco', 'acies', 'auctoritas')            |     1
('acies', 'auctoritas', 'vivo')               |     1
('vivo', 'depono', 'confirmo')                |     1
('depono', 'confirmo', 'audacia')             |     1
('confirmo', 'audacia', 'muto')               |     1
('audacia', 'muto', 'iam')                    |     1
('muto', 'iam', 'mens')                       |     1
('iam', 'mens', 'credo')                      |     1
('mens', 'credo', 'obliviscor')               |     1
('credo', 'obliviscor', 'caedes')             |     1
('obliviscor', 'caedes', 'incendium')         |     1
('caedes', 'incendium', 'teneo')              |     1
('incendium', 'teneo', 'undique')             |     1
('teneo', 'undique', 'lux')                   |     1
('undique', 'lux', 'clarus')                  |     1
('lux', 'clarus', 'consilium')                |     1
('clarus', 'consilium', 'iam')                |     1
('consilium', 'iam', 'licet')                 |     1
('iam', 'licet', 'recognosco')                |     1
('licet', 'recognosco', 'infitior')           |     1
('recognosco', 'infitior', 'possum')          |     1
('infitior', 'possum', 'dies')                |     1
('possum', 'dies', 'praesidium')              |     1
('dies', 'praesidium', 'diligentia')          |     1
('praesidium', 'diligentia', 'circumcludo')   |     1
('diligentia', 'circumcludo', 'commoveo')     |     1
('circumcludo', 'commoveo', 'res')            |     1
('res', 'publicus', 'possum')                 |     1
('publicus', 'possum', 'discessus')           |     1
('possum', 'discessus', 'tamen')              |     1
('discessus', 'tamen', 'remaneo')             |     1
('tamen', 'remaneo', 'caedes')                |     1
('remaneo', 'caedes', 'contentus')            |     1
('caedes', 'contentus', 'dico')               |     1
('contentus', 'dico', 'recognosco')           |     1
('dico', 'recognosco', 'tandem')              |     1
('recognosco', 'tandem', 'nox')               |     1
('tandem', 'nox', 'superus')                  |     1
('nox', 'superus', 'nego')                    |     1
('superus', 'nego', 'audeo')                  |     1
('nego', 'audeo', 'quid')                     |     1
('audeo', 'quid', 'taceo')                    |     1
('quid', 'taceo', 'convinco')                 |     1
('taceo', 'convinco', 'nego')                 |     1
('convinco', 'nego', 'res')                   |     1
('nego', 'res', 'publicus')                   |     1
('publicus', 'habeo', 'urbs')                 |     1
('habeo', 'urbs', 'vivo')                     |     1
('urbs', 'vivo', 'video')                     |     1
('vivo', 'video', 'consul')                   |     1
('video', 'consul', 'res')                    |     1
