============================================================
ANALYSIS LATIN: Minimal Stopword Filtering (Kept DET/CONJ)
============================================================

TOP COLLOCATIONS (PAIRS) by PMI (Min count: 10)
------------------------------------------------------------
Collocation                    | PMI        | Count
------------------------------------------------------------
('sum', 'sed')                 |  2627
('qui', 'cum')                 |  2622
('sum', 'omnis')               |  2617
('dico', 'sum')                |  2609
('sum', 'enim')                |  2588
('sum', 'quam')                |  2579
('is', 'et')                   |  2561
('in', 'res')                  |  2554
('non', 'qui')                 |  2549
('sum', 'dico')                |  2513
('quis', 'sum')                |  2513
('qui', 'tu')                  |  2499
('et', 'hic')                  |  2479
('ut', 'in')                   |  2471
('et', 'ad')                   |  2461
('ad', 'qui')                  |  2418
('facio', 'sum')               |  2416
('ut', 'is')                   |  2385
('ut', 'qui')                  |  2383
('et', 'cum')                  |  2366
('quod', 'sum')                |  2352
('sum', 'res')                 |  2348
('omnis', 'sum')               |  2338
('qui', 'ab')                  |  2332
('ad', 'is')                   |  2292
('qui', 'hic')                 |  2235
('ab', 'sum')                  |  2198
('cum', 'in')                  |  2186
('ex', 'qui')                  |  2169
('et', 'non')                  |  2153
('hic', 'et')                  |  2123
('ab', 'qui')                  |  2112
('sum', 'quis')                |  2095
('is', 'non')                  |  2069
('omnis', 'qui')               |  2068
('qui', 'possum')              |  2054
('ne', 'quidem')               |  2048
('hic', 'in')                  |  2046
('qui', 'dico')                |  2043
('non', 'in')                  |  2039
('et', 'ab')                   |  2034
('sum', 'ex')                  |  2026
('possum', 'sum')              |  1999
('ego', 'qui')                 |  1960
('cum', 'is')                  |  1959
('qui', 'ille')                |  1945
('qui', 'sui')                 |  1926
('sum', 'de')                  |  1923
('cum', 'et')                  |  1909
('et', 'ut')                   |  1895
('de', 'qui')                  |  1875

============================================================
TOP TRIGRAMS (3-Word Phrases) by FREQUENCY
============================================================
('in', 'res', 'publicus')                     |   384
('qui', 'ad', 'modus')                        |   354
('ai', 'cicerus', 'attico')                   |   318
('cicerus', 'attico', 'sal')                  |   281
('de', 'res', 'publicus')                     |   260
('sum', 'is', 'qui')                          |   259
('quam', 'ob', 'res')                         |   257
('unus', 'canus', 'cicerus')                  |   217
('et', 'is', 'qui')                           |   216
('is', 'qui', 'sum')                          |   215
('sum', 'in', 'is')                           |   213
('ad', 'is', 'qui')                           |   207
('in', 'is', 'qui')                           |   200
('qui', 'sum', 'in')                          |   199
('is', 'qui', 'in')                           |   192
('ut', 'is', 'qui')                           |   188
('res', 'publicus', 'sum')                    |   180
('ab', 'is', 'qui')                           |   177
('sum', 'non', 'possum')                      |   175
('sum', 'in', 'qui')                          |   173
('lies', 'classics', 'pax')                   |   169
('is', 'res', 'qui')                          |   156
('ab', 'urbs', 'condo')                       |   145
('classics', 'pax', 'periocha')               |   141
('cicerus', 'classics', 'pax')                |   137
('in', 'is', 'locus')                         |   135
('ex', 'senatus', 'consulo')                  |   135
('sum', 'qui', 'non')                         |   130
('is', 'sum', 'qui')                          |   130
('sum', 'in', 'hic')                          |   129
('pax', 'periocha', 'titus')                  |   129
('ex', 'is', 'qui')                           |   125
('sum', 'ut', 'is')                           |   124
('urbs', 'condo', 'liber')                    |   123
('quis', 'sum', 'quod')                       |   121
('classics', 'pax', 'cicerus')                |   121
('cum', 'is', 'qui')                          |   118
('in', 'qui', 'sum')                          |   116
('solum', 'sed', 'etiam')                     |   115
('nihil', 'sum', 'quod')                      |   113
('nullus', 'modus', 'possum')                 |   113
('si', 'quis', 'sum')                         |   111
('in', 'is', 'res')                           |   109
('qui', 'in', 'res')                          |   105
('cicerus', 'sanctus', 'damen')               |   105
('is', 'qui', 'dico')                         |   103
('in', 'hic', 'res')                          |   103
('titus', 'lieus', 'ab')                      |   102
('canus', 'cicerus', 'sanctus')               |    99
('non', 'sum', 'in')                          |    98
