============================================================
CICERO: TOP PAIRS by FREQUENCY (Raw Count)
============================================================

Pair                           | Count
('ago', 'littera')             |    33
('tamen', 'volo')              |    32
('puto', 'res')                |    32
('venio', 'video')             |    32
('plebs', 'tribunus')          |    32
('non', 'roma')                |    32
('littera', 'video')           |    32
('nam', 'possum')              |    32
('do', 'facio')                |    32
('do', 'greek.expression')     |    32
('publicus', 'scribo')         |    32
('ago', 'ne')                  |    31
('ne', 'volo')                 |    31
('iam', 'ne')                  |    31
('dico', 'facio')              |    31
('res', 'venio')               |    31
('habeo', 'magnus')            |    31
('do', 'habeo')                |    31
('habeo', 'littera')           |    31
('magnus', 'scribo')           |    31
('amo', 'non')                 |    31
('quam', 'scio')               |    31
('lex', 'non')                 |    31
('accipio', 'non')             |    31
('eo', 'non')                  |    31
('etiam', 'littera')           |    31
('frater', 'non')              |    31
('possum', 'quidem')           |    31
('pompeius', 'video')          |    31
('animus', 'non')              |    31
('publicus', 'quam')           |    31
('aio', 'greek.expression')    |    31
('littera', 'venio')           |    31
('ago', 'tamen')               |    30
('dico', 'etiam')              |    30
('etiam', 'nunc')              |    30
('facio', 'tamen')             |    30
('enim', 'puto')               |    30
('do', 'possum')               |    30
('non', 'satis')               |    30
('non', 'quaero')              |    30
('credo', 'non')               |    30
('ago', 'habeo')               |    30
('dico', 'pompeius')           |    30
('spes', 'video')              |    30
('ago', 'scio')                |    30
('neque', 'non')               |    30
('consul', 'res')              |    29
('dico', 'quam')               |    29
('do', 'video')                |    29
('quam', 'venio')              |    29
('dico', 'video')              |    29
('modus', 'non')               |    29
('quam', 'ut')                 |    29
('alter', 'non')               |    29
('autem', 'possum')            |    29
('littera', 'puto')            |    29
('habeo', 'ut')                |    29
('hercule', 'mehercule')       |    29
('ne', 'ut')                   |    29
('do', 'epistula')             |    29
('accipio', 'littera')         |    29
('do', 'ut')                   |    29
('ne', 'venio')                |    28
('iam', 'quam')                |    28
('possum', 'venio')            |    28
('magnus', 'video')            |    28
('possum', 'ut')               |    28
('exspecto', 'scribo')         |    28
('homo', 'video')              |    28
('littera', 'scio')            |    28
('nam', 'ne')                  |    28
('facio', 'venio')             |    28
('multus', 'quam')             |    28
('greek.expression', 'nunc')   |    28
('causa', 'res')               |    28
('facio', 'ita')               |    28
('multus', 'possum')           |    28
('facio', 'senatus')           |    28
('greek.expression', 'tamen')  |    28
('venio', 'volo')              |    27
('iam', 'volo')                |    27
('etiam', 'modo')              |    27
('etiam', 'puto')              |    27
('scribo', 'tempus')           |    27
('scio', 'ut')                 |    27
('facio', 'habeo')             |    27
('non', 'tum')                 |    27
('ut', 'venio')                |    27
('autem', 'quam')              |    27
('quam', 'roma')               |    27
('enim', 'publicus')           |    27
('dico', 'enim')               |    27
('possum', 'puto')             |    27
('non', 'spes')                |    27
('ago', 'ut')                  |    27
('ago', 'enim')                |    27
('consul', 'senatus')          |    26
('publicus', 'video')          |    26
('homo', 'res')                |    26
('ago', 'volo')                |    26
('nunc', 'possum')             |    26
('ita', 'ne')                  |    26
('autem', 'littera')           |    26
('exspecto', 'non')            |    26
('amo', 'greek.expression')    |    26
('negotium', 'non')            |    26
('tamen', 'ut')                |    26
('greek.expression', 'vero')   |    26
('magis', 'res')               |    26
('accipio', 'scribo')          |    26
('pompeius', 'scribo')         |    26
('etiam', 'tamen')             |    26
('magis', 'scribo')            |    26
('caesar', 'res')              |    26
('roma', 'scribo')             |    26
('puto', 'ut')                 |    26
('epistula', 'greek.expression') |    26
('ne', 'senatus')              |    25
('dico', 'tamen')              |    25
('malo', 'quam')               |    25
('ago', 'quam')                |    25
('habeo', 'venio')             |    25
('greek.expression', 'sic')    |    25
('etiam', 'quidem')            |    25
('littera', 'possum')          |    25
('intellego', 'non')           |    25
('animus', 'res')              |    25
('fio', 'possum')              |    25
('itaque', 'non')              |    25
('lex', 'senatus')             |    25
('nam', 'res')                 |    25
('non', 'praesertim')          |    25
('licet', 'non')               |    25
('ceterus', 'non')             |    25
('ago', 'do')                  |    25
('adsum', 'non')               |    25
('multus', 'ne')               |    25
('quidem', 'video')            |    25
('homo', 'ne')                 |    25
('do', 'tamen')                |    25
('dies', 'facio')              |    25
('dico', 'senatus')            |    24
('homo', 'possum')             |    24
('consul', 'facio')            |    24
('nunc', 'volo')               |    24
('modus', 'ne')                |    24
('modo', 'ne')                 |    24
('etiam', 'publicus')          |    24
('homo', 'quam')               |    24
('roma', 'video')              |    24
('magnus', 'venio')            |    24
('facio', 'multus')            |    24
('curo', 'non')                |    24
('facio', 'nunc')              |    24
('tempus', 'video')            |    24
('non', 'spero')               |    24
('dubito', 'non')              |    24
('dolor', 'non')               |    24
('ita', 'volo')                |    24
('do', 'enim')                 |    24
('certus', 'facio')            |    24
('audio', 'non')               |    24
('do', 'etiam')                |    24
('ne', 'puto')                 |    24
('ita', 'tamen')               |    24
('etiam', 'scio')              |    24
('res', 'valde')               |    24
('enim', 'ut')                 |    24
('dies', 'greek.expression')   |    24
('dies', 'scribo')             |    24
('caesar', 'pompeius')         |    24
('facio', 'iam')               |    23
('res', 'tum')                 |    23
('puto', 'tamen')              |    23
('etiam', 'iam')               |    23
('etiam', 'venio')             |    23
('quam', 'vero')               |    23
('facio', 'littera')           |    23
('amicus', 'non')              |    23
('fio', 'greek.expression')    |    23
('curo', 'scribo')             |    23
('greek.expression', 'modo')   |    23
('ne', 'roma')                 |    23
('do', 'puto')                 |    23
('etiam', 'habeo')             |    23
('scio', 'video')              |    23
('autem', 'ut')                |    23
('fio', 'res')                 |    23
('greek.expression', 'itaque') |    23
('res', 'summus')              |    23
('magnus', 'ne')               |    23
('greek.expression', 'mitto')  |    23
('ne', 'tempus')               |    23
('enim', 'multus')             |    23
('enim', 'tamen')              |    23
('quidem', 'scribo')           |    23
('etiam', 'ut')                |    23
('potius', 'quam')             |    23
('fio', 'ne')                  |    23
('consilium', 'video')         |    22
('facio', 'publicus')          |    22
('ita', 'video')               |    22
('ago', 'nunc')                |    22
('dico', 'volo')               |    22
('non', 'sic')                 |    22
('magis', 'video')             |    22
('mitto', 'res')               |    22
('amo', 'scribo')              |    22
('puto', 'scio')               |    22
('habeo', 'scio')              |    22
('facio', 'nam')               |    22
('non', 'tantus')              |    22
('desidero', 'non')            |    22
('greek.expression', 'iam')    |    22
('bonus', 'quam')              |    22
('bonus', 'video')             |    22
('nunc', 'scio')               |    22
('etiam', 'multus')            |    22
('facio', 'quidem')            |    22
('scribo', 'spes')             |    22
('lex', 'ne')                  |    22
('animus', 'possum')           |    22
('greek.expression', 'venio')  |    22
('greek.expression', 'nescio') |    22
('senatus', 'video')           |    21
('modo', 'possum')             |    21
('fero', 'possum')             |    21
('animus', 'video')            |    21
('certus', 'scribo')           |    21
('quam', 'tempus')             |    21
('non', 'verum')               |    21
('multus', 'volo')             |    21
('multus', 'ut')               |    21
('locus', 'scribo')            |    21
('mitto', 'quam')              |    21
('non', 'sermo')               |    21
('dico', 'habeo')              |    21
('non', 'voluntas')            |    21
('non', 'valeo')               |    21
('habeo', 'nunc')              |    21
('epistula', 'quam')           |    21
('enim', 'sic')                |    21
('enim', 'epistula')           |    21
('ago', 'multus')              |    21
('greek.expression', 'opinor') |    21
('non', 'provincia')           |    21
('certe', 'non')               |    21
('non', 'solum')               |    21
('enim', 'scio')               |    21
('iam', 'venio')               |    21
('enim', 'homo')               |    21
('liber', 'non')               |    21
('habeo', 'pompeius')          |    21
('modo', 'res')                |    21
('modo', 'scribo')             |    21
('non', 'significo')           |    21
('greek.expression', 'liber')  |    21
('do', 'venio')                |    21
('ago', 'etiam')               |    21
('quidem', 'tamen')            |    21
('ago', 'pompeius')            |    21
('facio', 'pompeius')          |    21
('caesar', 'littera')          |    21
('iam', 'tamen')               |    20
('habeo', 'publicus')          |    20
('possum', 'publicus')         |    20
('res', 'saepe')               |    20
('tamen', 'venio')             |    20
('nunc', 'venio')              |    20
('exspecto', 'possum')         |    20
('nam', 'ut')                  |    20
('dico', 'ita')                |    20
('caesar', 'scribo')           |    20
('ceterus', 'res')             |    20
('autem', 'puto')              |    20
('enim', 'modo')               |    20
('roma', 'scio')               |    20
('saepe', 'scribo')            |    20
('iam', 'puto')                |    20
('frater', 'littera')          |    20
('autem', 'do')                |    20
('audio', 'ne')                |    20
('epistula', 'video')          |    20
('nunc', 'ut')                 |    20
('ago', 'venio')               |    20
('affero', 'littera')          |    20
('greek.expression', 'quaero') |    20
('modo', 'quomodo')            |    20
('ne', 'nisi')                 |    20
('nam', 'tamen')               |    20
('non', 'vero')                |    20
('dico', 'ut')                 |    20
('greek.expression', 'nosco')  |    20
('do', 'iam')                  |    20
('inquam', 'non')              |    20
('dico', 'do')                 |    20
('epistula', 'res')            |    20
('res', 'totus')               |    20
('spero', 'ut')                |    20
('consilium', 'scribo')        |    20
('res', 'spes')                |    20
('greek.expression', 'vir')    |    20
('fero', 'greek.expression')   |    20
('greek.expression', 'tempus') |    20
('consul', 'habeo')            |    19
('magnus', 'possum')           |    19
('modus', 'possum')            |    19
('magnus', 'tamen')            |    19
('possum', 'vero')             |    19
('bonus', 'possum')            |    19
('plebs', 'res')               |    19
('magnus', 'ut')               |    19
('ita', 'ut')                  |    19
('nunc', 'puto')               |    19
('enim', 'nunc')               |    19
('accipio', 'res')             |    19
('dies', 'habeo')              |    19
('causa', 'facio')             |    19
('causa', 'video')             |    19
('tempus', 'volo')             |    19
('autem', 'etiam')             |    19
('delecto', 'greek.expression') |    19
('non', 'vereor')              |    19
('mitto', 'video')             |    19
('animus', 'scribo')           |    19
('frater', 'scribo')           |    19
('magnus', 'quam')             |    19
('locus', 'volo')              |    19
('non', 're')                  |    19
('do', 'scio')                 |    19
('ita', 'quam')                |    19
('intellego', 'scribo')        |    19
('magnus', 'multus')           |    19
('do', 'opera')                |    19
('primum', 'quam')             |    19
('nam', 'quam')                |    19
('non', 'placeo')              |    19
('greek.expression', 'respondeo') |    19
('greek.expression', 'senatus') |    19
('nisi', 'non')                |    19
('habeo', 'nam')               |    19
('publicus', 'ut')             |    19
('non', 'plebs')               |    19
('proficiscor', 'scribo')      |    19
('do', 'magis')                |    19
('ne', 'provincia')            |    19
('facio', 'magis')             |    19
('causa', 'dico')              |    19
('non', 'summus')              |    19
('pompeius', 'possum')         |    19
('caesar', 'dico')             |    19
('scio', 'venio')              |    19
('pompeius', 'senatus')        |    19
('scribo', 'senatus')          |    19
('mehercule', 'non')           |    19
('gero', 'non')                |    19
('bonus', 'greek.expression')  |    19
('multus', 'quidem')           |    19
('ago', 'roma')                |    19
('iam', 'littera')             |    19
('audio', 'greek.expression')  |    19
('neque', 'res')               |    19
('epirus', 'scribo')           |    19
('consul', 'dico')             |    18
('consilium', 'possum')        |    18
('publicus', 'tamen')          |    18
('res', 'urbs')                |    18
('tam', 'video')               |    18
('ne', 'sic')                  |    18
('possum', 'sic')              |    18
('ago', 'modo')                |    18
('etiam', 'solum')             |    18
('certus', 'non')              |    18
('sic', 'video')               |    18
('greek.expression', 'magis')  |    18
('non', 'retineo')             |    18
('enim', 'roma')               |    18
('enim', 'mitto')              |    18
('non', 'quare')               |    18
('enim', 'ita')                |    18
('roma', 'venio')              |    18
