================================================================================
CICERO FULL CORPUS ANALYSIS (Stanza Lemmatization)
Source: Latin Library (Full Text)
Method: Stanza NLP (UD Model), Window Size: 5, Stopwords Removed
================================================================================

Total Files Processed: 138
Total Lemmas: 632835
Unique Pairs Found: 1542989

TOP COLLOCATIONS by PMI (Min count: {min_occurrence})
--------------------------------------------------------------------------------
Collocation                              | PMI        | Count
('galba', 'seresia')                     |      10.36 |     5
('nov', 'violentia')                     |      10.35 |     5
('punicus', 'secundo')                   |      10.34 |     5
('heaus', 'mamertinus')                  |      10.33 |     5
('equitus', 'pedeo')                     |      10.30 |     5
('curulus', 'sella')                     |      10.29 |     6
('irascor', 'juppiter')                  |      10.29 |     5
('rupilis', 'sortior')                   |      10.28 |     6
('cannens', 'pugna')                     |      10.26 |     5
('constitutio', 'depulsio')              |      10.26 |    19
('constitutio', 'generalis')             |      10.26 |     8
('fabricius', 'pyrrhum')                 |      10.24 |     5
('addo', 'licet"')                       |      10.24 |     5
('conlegium', 'pontificus')              |      10.23 |     8
('concursio', 'fortuitus')               |      10.20 |     5
('incendia', 'rapina')                   |      10.18 |     9
('atomus', 'declino')                    |      10.18 |    16
('novanus', 'puteolanis')                |      10.17 |     5
('cappadocia', 'cilicia')                |      10.17 |     5
('adflictatio', 'aegritudo')             |      10.16 |     5
('approbatio', 'indigeo')                |      10.16 |    21
('ccciccx', 'flavium')                   |      10.16 |     7
('iuger', 'medimnus')                    |      10.15 |     8
('aristoteles', 'xenocrate')             |      10.14 |     5
('hieronicus', 'vendio')                 |      10.14 |     7
('numa', 'pythagoreus')                  |      10.13 |     5
('milius', 'passus')                     |      10.13 |    15
('siccus', 'silium')                     |      10.12 |     5
('philippis', 'tvllum')                  |      10.11 |    13
('antones', 'tvllum')                    |      10.11 |    14
('philippica', 'tvllum')                 |      10.11 |    14
('brvtum', 'tvllum')                     |      10.11 |     6
('epistvlaris', 'tvllum')                |      10.11 |     6
('epistvlar', 'tvllum')                  |      10.11 |    21
('qvintus', 'tvllum')                    |      10.11 |     6
('tusculo', 'tvllum')                    |      10.11 |     5
('disputations', 'tvllum')               |      10.11 |     5
('tvllum', 'tvscvlanaris')               |      10.11 |     5
('dispvtatio', 'tvllum')                 |      10.11 |     5
('malor', 'tvllum')                      |      10.11 |     5
('expeto', 'uirtus')                     |      10.10 |     5
('milius', 'sescentum')                  |      10.10 |     9
('constitutio', 'demonstratio')          |      10.10 |    17
('approbatio', 'separo')                 |      10.07 |    13
('fannis', 'fraudo')                     |      10.07 |     5
('percudo', 'securus')                   |      10.05 |    10
('qvintvs', 'uero')                      |      10.05 |     7
('naevus', 'quinco')                     |      10.03 |     5
('atomus', 'declinatio')                 |      10.03 |     6
('anguus', 'haruspex')                   |      10.03 |     5
('naevium', 'quinctium')                 |       9.99 |     6
('septus', 'thessalono')                 |       9.96 |     7
('ser', 'sulpicium')                     |       9.95 |    22
('brvtvs', 'ciceronum')                  |       9.94 |     8
('constitutio', 'intentio')              |       9.94 |    16
('acies', 'praestringo')                 |       9.93 |     5
('anima', 'vertendo')                    |       9.93 |     7
('deliberatio', 'demonstratio')          |       9.93 |     9
('assumptio', 'separo')                  |       9.91 |     9
('lanuvus', 'postridio')                 |       9.91 |     5
